Units
Win
Amount|%Change|Win%|Drop|Total|Gaming|Win|%Total|Win/Unit
1984|51|20,899|-|2.34%|894,564|3,092,980|0.68%|409.78
1985|56|21,485|2.80%|2.52%|851,786|3,309,372|0.65%|383.66
1986|59|34,921|62.54%|3.23|%|1,081,161|3,492,474|1.00%|591.88
1987|67|29,054|-16.80%|1.55%|1,875,400|3,949,427|0.74%|433.64
1988|66|42,023|44.64%|3.19%|1,318,052|4,429,023|0.95%|636.71
1989|71|45,776|8.93%|3.35%|1,366,448|4,750,716|0.96%|644.73
1990|90|48,839|6.69%|2.92%|1,671,479|5,480,664|0.89%|542.66
1991|104|52,300|7.09%|2.80%|1,867,857|5,579,128|0.94%|502.88
1992|114|50,602|-3.25%|2.81%|1,800,783|5,864,228|0.86%|443.88
1993|112|75,035|48.28%|3.74%|2,006,283|6,247,508|1.20%|669.96
1994|112|122,450|63.19%|5.73%|2,136,998|7,007,586|1.75%|1,093.30
1995|119|79,415|-35.14%|3.27%|2,428,593|7,368,580|1.08%|667.35
1996|133|76,486|-3.69%|3.08%|2,483,312|7,426,192|1.03%|575.08
1997|136|89,718|17.30%|3.69%|2,431,382|7,801,920|1.15%|659.69
1998|146|77,375|-13.76%|3.41%|2,269,062|8,064,970|0.96%|529.97
1999|156|109,192|41.12%|4.42%|2,470,407|9,021,570|1.21%|699.95
2000|165|123,836|13.41%|5.33%|2,323,377|9,602,586|1.29%|750.52
2001|162|118,077|-4.65%|5.78%|2,042,855|9,468,559|1.25%|728.87
2002|149|110,383|-6.52%|5.70%|1,936,544|9,447,660|1.17%|740.83
2003|150|122,630|11.10%|6.58%|1,863,678|9,625,304|1.27%|817.53
2004|159|112,504|-8.26%|5.39%|2,087,273|10,562,247|1.07%|707.57
2005|164|126,176|12.15%|5.59%|2,257,174|11,649,040|1.08%|769.37
2006|168|191,538|51.80%|7.89%|2,427,605|12,622,044|1.52%|1,140.11
2007|169|168,363|-12.10%|6.49%|2,594,191|12,849,137|1.31%|996.23
2008|177|136,441|-18.96%|5.29%|2,579,225|11,599,124|1.18%|770.85
2009|185|136,380|-0.04%|5.31%|2,568,362|10,392,675|1.31%|737.19
2010|183|151,096|10.79%|5.47%|2,762,267|10,404,731|1.45%|825.66
2011|183|140,731|-6.86%|4.89%|2,877,935|10,700,994|1.32%|769.02
2012|182|170,062|20.84%|4.93%|3,449,533|10,860,715|1.57%|934.41
2013|186|202,838|19.27%|5.60%|3,622,107|11,142,915|1.82%|1,090.53
2014|190|227,045|11.93%|5.82%|3,901,117|11,018,688|2.06%|1,194.97
2015|196|231,787|2.09%|5.47%|4,237,422|11,114,081|2.09%|1,182.59
2016|192|219,174|-5.44%|4.86%|4,509,753|11,257,147|1.95%|1,141.53
2017|192|248,777|13.51%|5.11%|4,868,434|11,571,114|2.15%|1,295.71
2018|192|301,048|20.98%|6.01%|5,009,118|11,917,370|2.53%|1,567.96
2019|191|329,137|9.52%|6.19%|5,317,237|12,031,501|2.74%|1,723.23
